,SpeciesLong,SpeciesShort,Habitat,Taxon,Abundance,Assimilation_eff,LF_dist,LF_dist1,LF_dist2,LWR_a,LWR_b,VBG_K,VBG_LOO,VBG_t0,Mat_age,Tmax,M_type,M_const,Sex_rat,Swim_velo
1,Aglaophamus_circinata,sp1,"Marine, BrackishWater, Estuaries, Benthic, SoftBottom, Burrows",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
2,Ampharete_finmarchica,sp2,"Marine, Neritic, LittoralZone, SubLittoral, Epipelagic, mesopelagic, bathypelagic, Benthic, Demersal, SoftBottom, Sand",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
3,Ancistrosyllis_hartmanae,sp3,"Marine, Benthic, Mobile, SoftBottom, Sand, Mud, CoralReefs, Burrows",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
4,Aphrodita_hastata,sp4,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
5,Apistobranchus_tullbergi,sp5,"Marine, Neritic, SubLittoral, Benthic, Mobile, Demersal, SoftBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
6,Apoprionospio_pygmaea,sp6,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
7,Arabella_iricolor,sp7,"Marine, Neritic, LittoralZone, Intertidal, Benthic, Mobile, Macrobenthos, SoftBottom, Sand, Mud, HardBottom, Rocky, Seamounts",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
8,Aricidea_catherinae,sp8,"Marine, Neritic, LittoralZone, Intertidal, SubLittoral, Oceanic, Benthic, Mobile, Macrobenthos, SoftBottom, Sand, Fine, Mud, HardBottom, Rocky, Burrows",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
9,Aricidea_cerrutii,sp9,"Marine, Neritic, SubLittoral, Benthic, SoftBottom, Sand, Coarse, Fine, HardBottom, Rubble",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
10,Aricidea_finitima,sp10,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
11,Aricidea_taylori,sp11,"Marine, Benthic, CoralReefs",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
12,Aricidea_wassi,sp12,"Marine, Benthic, SoftBottom, Burrows",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
13,Aricidea_suecica,sp13,"Marine, Neritic, LittoralZone, SubLittoral, Benthic, Demersal, SoftBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
14,Armandia_maculata,sp14,"Marine, Benthic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
15,Bradabyssa_villosa,sp15,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
16,Chaetozone_setosa,sp16,"Marine, Neritic, LittoralZone, SubLittoral, Epipelagic, mesopelagic, bathypelagic, BrackishWater, Estuaries, Benthic, Endofauna, Macrobenthos, SoftBottom, Sand, Fine, Silt, Mud",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
17,Clymenella_mucosa,sp17,"Marine, Neritic, LittoralZone, Intertidal, Benthic, Macrobenthos, SeaGrassBeds",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
18,Clymenella_torquata,sp18,"Marine, Neritic, LittoralZone, SubLittoral, Benthic, SoftBottom, HardBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
19,Dipolydora_socialis,sp19,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
20,Drilonereis_longa,sp20,"Marine, Benthic, SoftBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
21,Eteone_longa,sp21,"Marine, Neritic, SubLittoral, BrackishWater, Estuaries, Benthic, Mobile, Macrobenthos, SoftBottom, Sand, Mud, Ooze, Detritus",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
22,Euchone_incolor,sp22,"Marine, Benthic, Sessile",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
23,Eunice_pennata,sp23,"Marine, Benthic, Mobile, Macrobenthos, SoftBottom, HardBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
24,Eunice_websteri,sp24,"Marine, Benthic, SoftBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
25,Exogone_rolani,sp25,"Marine, Benthic, Mobile, Pelagic, SoftBottom, HardBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
26,Exogone_verugera,sp26,"Marine, Neritic, SubLittoral, Benthic, Mobile, Macrobenthos, SoftBottom, Sand, Fine",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
27,Galathowenia_oculata,sp27,"Marine, Neritic, SubLittoral, Benthic, Endofauna, Macrobenthos, SoftBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
28,Goniada_maculata,sp28,"Marine, Neritic, SupraLittoralZone, LittoralZone, SubLittoral, BrackishWater, Estuaries, Benthic, SoftBottom, Sand, Mud, Burrows",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
29,Goniadella_gracilis,sp29,Marine,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
30,Harmothoe_imbricata,sp30,"Marine, Neritic, LittoralZone, Intertidal, SoftBottom, Mud",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
31,Hartmania_moorei,sp31,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
32,Hydroides_dianthus,sp32,"Marine, Benthic, Sessile, SoftBottom, CoralReefs",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
33,Kirkegaardia_baptisteae,sp33,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
34,Kirkegaardia_dorsobranchialis,sp34,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
35,Leitoscoloplos_acutus,sp35,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
36,Levinsenia_gracilis,sp36,"Marine, Neritic, SubLittoral, bathypelagic, Benthic, Macrobenthos, SoftBottom, Sand, Fine, Burrows",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
37,Lumbrinerides_acuta,sp37,"Marine, Benthic, SoftBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
