species,variable,pref_min,opt_min,opt_max,pref_max
DVM_strong,temp-surf,3,15,32,36
DVM_strong,bathymetry,400,1000,3000,6000
DVM_strong,salinity,20,22,36,40
DVM_weak,temp-surf,3,15,32,36
DVM_weak,bathymetry,400,1000,3000,6000
DVM_weak,salinity,20,22,36,40
Prey1,temp-surf,3,15,32,36
Prey1,bathymetry,400,600,1000,2000
Prey1,salinity,20,22,36,40
Prey2,temp-surf,3,15,32,36
Prey2,bathymetry,400,600,1000,2000
Prey2,salinity,20,22,36,40
Prey3,temp-surf,3,15,32,36
Prey3,bathymetry,400,600,1000,2000
Prey3,salinity,20,22,36,40
