SpeciesLong,SpeciesShort,Type,mu1,mu2,mu3,sigma1,sigma2,sigma3,lambda1,lambda2,lambda3
Species1,sp1,Distribution,20,100,300,25,100,200,.33,.33,.34
Species1,sp1,Distribution,20,100,300,25,100,200,.33,.33,.34
Species1,sp1,Distribution,20,100,300,25,100,200,.33,.33,.34
Species1,sp1,Distribution,20,100,300,25,100,200,.33,.33,.34
Species1,sp1,Distribution,20,100,300,25,100,200,.33,.33,.34
Species1,sp1,Distribution,20,100,300,25,100,200,.33,.33,.34
Species1,sp1,Distribution,20,100,300,25,100,200,.33,.33,.34
Species1,sp1,Distribution,20,100,300,25,100,200,.33,.33,.34
Species1,sp1,Distribution,20,100,300,25,100,200,.33,.33,.34
Species1,sp1,Distribution,20,100,300,25,100,200,.33,.33,.34
Species1,sp1,Distribution,20,100,300,25,100,200,.33,.33,.34
Species1,sp1,Distribution,20,100,300,25,100,200,.33,.33,.34
Species1,sp1,Distribution,20,100,300,25,100,200,.33,.33,.34
Species1,sp1,Distribution,20,100,300,25,100,200,.33,.33,.34
