SpeciesLong,SpeciesShort,Type,mu1,mu2,mu3,sigma1,sigma2,sigma3,lambda1,lambda2,lambda3
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
Species2,sp2,Distribution,20,40,60,25,25,25,.33,.33,.34
