species,variable,pref_min,opt_min,opt_max,pref_max
King,temp-surf,20,22,26,36
King,bathymetry,0,10,50,150
King,salinity,20,22,27,40
Cetaceans,temp-surf,3,15,28,30
Cetaceans,bathymetry,0,10,750,6000
Cetaceans,salinity,12,33,36,39
Sharks,temp-surf,11,18,28,32
Sharks,bathymetry,0,200,400,400
Sharks,salinity,21,33,36,39
HMS_Species,temp-surf,1,10,25,30
HMS_Species,bathymetry,25,213,320,1860
HMS_Species,salinity,16,33,36,38
Predatory_Fishes,temp-surf,10,23,28,33
Predatory_Fishes,bathymetry,0,155,515,1200
Predatory_Fishes,salinity,21,32,36,38
Spanish_Mackerel,temp-surf,12,16,27,31
Spanish_Mackerel,bathymetry,10,12,23,35
Spanish_Mackerel,salinity,19,27,36,37
Menhaden,temp-surf,17,19,26,30
Menhaden,bathymetry,0,5,26,50
Menhaden,salinity,22,29,36,37
Sardine_Anchovy,temp-surf,20,22,26,36
Sardine_Anchovy,bathymetry,8,28,80,175
Sardine_Anchovy,salinity,21,29,35,38
Other_Fishes,temp-surf,12,17,26,30
Other_Fishes,bathymetry,3,11,42,79
Other_Fishes,salinity,20,28,36,38
Shrimp,temp-surf,20,22,26,36
Shrimp,bathymetry,0,10,50,150
Shrimp,salinity,20,22,27,40
Other_Inverts,temp-surf,20,22,26,36
Other_Inverts,bathymetry,0,10,50,150
Other_Inverts,salinity,20,22,27,40
Zooplankton,temp-surf,20,22,26,36
Zooplankton,bathymetry,0,10,50,150
Zooplankton,salinity,20,22,27,40

