SpeciesLong,SpeciesShort,Type,mu1,mu2,mu3,sigma1,sigma2,sigma3,lambda1,lambda2,lambda3
Species1,sp1,Distribution,10,0,0,25,0,0,1,0,0
Species2,sp2,Distribution,10,0,0,25,0,0,1,0,0
Species3,sp3,Distribution,10,0,0,25,0,0,1,0,0
Species4,sp4,Distribution,10,0,0,25,0,0,1,0,0
Species5,sp5,Distribution,10,0,0,25,0,0,1,0,0
Species6,sp6,Distribution,10,0,0,25,0,0,1,0,0
Species1,sp1,Distribution,10,0,0,25,0,0,1,0,0
Species2,sp2,Distribution,10,0,0,25,0,0,1,0,0
Species3,sp3,Distribution,10,0,0,25,0,0,1,0,0
Species4,sp4,Distribution,10,0,0,25,0,0,1,0,0
Species5,sp5,Distribution,10,0,0,25,0,0,1,0,0
Species6,sp6,Distribution,10,0,0,25,0,0,1,0,0
Species1,sp1,Distribution,10,0,0,25,0,0,1,0,0
Species2,sp2,Distribution,10,0,0,25,0,0,1,0,0
Species3,sp3,Distribution,10,0,0,25,0,0,1,0,0
Species4,sp4,Distribution,10,0,0,25,0,0,1,0,0
Species5,sp5,Distribution,10,0,0,25,0,0,1,0,0
Species6,sp6,Distribution,10,0,0,25,0,0,1,0,0
Species1,sp1,Distribution,10,0,0,25,0,0,1,0,0
Species2,sp2,Distribution,10,0,0,25,0,0,1,0,0
Species3,sp3,Distribution,10,0,0,25,0,0,1,0,0
Species4,sp4,Distribution,10,0,0,25,0,0,1,0,0
Species5,sp5,Distribution,10,0,0,25,0,0,1,0,0
Species6,sp6,Distribution,10,0,0,25,0,0,1,0,0
Species1,sp1,Distribution,10,0,0,25,0,0,1,0,0
Species2,sp2,Distribution,10,0,0,25,0,0,1,0,0
Species3,sp3,Distribution,10,0,0,25,0,0,1,0,0
Species4,sp4,Distribution,10,0,0,25,0,0,1,0,0
Species5,sp5,Distribution,10,0,0,25,0,0,1,0,0
Species6,sp6,Distribution,10,0,0,25,0,0,1,0,0
