SpeciesLong,SpeciesShort,Type,Taxa,Biomass,Max_Size,LWR_a,LWR_b,Swim_velo,Surface_Interval,Dive_Interval,Energy_density,t_resolution
Nmig_lanternfishes,sp1,non_mig,Fish,0.011,70,1.00E-02,3,1,0,0,5000,20
Mig_lanternfishes,sp2,dvm_strong,Fish,0.099,70,1.00E-02,3,1,0,0,5000,20
Nmig_bristlemouths,sp3,non_mig,Fish,0.05733,70,1.00E-02,3,1,0,0,5000,20
Mig_bristlemouths,sp4,dvm_strong,Fish,0.02457,70,1.00E-02,3,1,0,0,5000,20
Nmig_hatchetfishes,sp5,non_mig,Fish,0.01645,60,1.00E-02,3,1,0,0,5000,20
Mig_hatchetfishes,sp6,dvm_strong,Fish,0.01645,60,1.00E-02,3,1,0,0,5000,20
Nmig_LargeMesos,sp7,non_mig,Fish,0.00565,300,1.00E-02,3,1,0,0,5000,20
Mig_LargeMesos,sp8,dvm_strong,Fish,0.00565,300,1.00E-02,3,1,0,0,5000,20
Nmig_SmallMesos,sp9,non_mig,Fish,0.01555,70,1.00E-02,3,1,0,0,5000,20
Mig_SmallMesos,sp10,dvm_strong,Fish,0.01555,70,1.00E-02,3,1,0,0,5000,20
Nmig_Dragonfishes,sp11,non_mig,Fish,0.04345,300,1.00E-02,3,1,0,0,5000,20
Mig_Dragonfishes,sp12,dvm_strong,Fish,0.04345,300,1.00E-02,3,1,0,0,5000,20
