SpeciesLong,SpeciesShort,Type,mu1,mu2,mu3,sigma1,sigma2,sigma3,lambda1,lambda2,lambda3
Species5,sp5,Distribution,250,500,750,200,200,200,0.1,0.6,0.4
Species6,sp6,Distribution,100,0,0,100,0,0,1,0,0
Species7,sp7,Distribution,250,500,750,200,200,200,0.1,0.6,0.4
Species8,sp8,Distribution,100,0,0,100,0,0,1,0,0
Species9,sp9,Distribution,250,500,750,200,200,200,0.1,0.6,0.4
Species10,sp10,Distribution,100,0,0,100,0,0,1,0,0
Species11,sp11,Distribution,250,500,750,200,200,200,0.1,0.6,0.4
Species12,sp12,Distribution,100,0,0,100,0,0,1,0,0
Species13,sp13,Distribution,250,500,750,200,200,200,0.1,0.6,0.4
Species14,sp14,Distribution,100,0,0,100,0,0,1,0,0
Species15,sp15,Distribution,250,500,750,200,200,200,0.1,0.6,0.4
Species16,sp16,Distribution,100,0,0,100,0,0,1,0,0
