SpeciesLong,SpeciesShort,Type,mu1,mu2,mu3,sigma1,sigma2,sigma3,lambda1,lambda2,lambda3
Pool3,sp3,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Pool4,sp4,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Pool5,sp5,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Pool6,sp6,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Pool7,sp7,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Pool8,sp8,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Pool9,sp9,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Pool10,sp10,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Pool11,sp11,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Pool12,sp12,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Pool13,sp13,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species1,sp1,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species2,sp2,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species3,sp3,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species4,sp4,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species19,sp19,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species20,sp20,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species21,sp21,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species22,sp22,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species23,sp23,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species24,sp24,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species25,sp25,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species26,sp26,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species27,sp27,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species28,sp28,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species29,sp29,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Species30,sp30,Distribution,100,300,800,50,100,200,0.6,0.3,0.1
Pool4,sp29,Distribution,250,500,750,200,200,200,0.3,0.3,0.3
